,veh,puma,np,serialno,fincp,wgtp
0,0,00106,01,1000481,,00100
1,4,00106,04,1002740,000117600,00112
2,2,00106,03,1004323,000096000,00078
3,4,00106,05,1006982,000133500,00053
4,2,00106,02,1010099,000170000,00063
5,2,00106,02,1011294,000135000,00042
6,,00106,00,1011919,,00255
7,2,00106,04,1012613,000032000,00072
8,4,00106,03,1015561,000085000,00128
9,2,00106,02,1016255,000068500,00076
10,2,00106,02,1017051,000050400,00070
11,2,00106,02,1019082,000083200,00066
12,0,00106,01,1019611,,00188
13,2,00106,02,1021805,000104000,00121
14,3,00106,04,1022501,000198500,00125
15,2,00106,02,1022581,000009100,00060
16,5,00106,03,1023053,000060000,00070
17,,00106,01,1023149,,00000
18,2,00106,01,1023432,,00408
19,2,00106,06,1026172,000100000,00047
20,2,00106,04,102947,000120000,00209
21,1,00106,01,1032964,,00135
22,2,00106,01,1035885,,00062
23,2,00106,04,1036137,000109800,00053
24,2,00106,05,1037116,000090500,00098
25,0,00106,01,1038049,,00082
26,3,00106,02,1039604,000102080,00112
27,2,00106,02,1039952,000105000,00192
28,3,00106,03,1042929,000077000,00048
29,3,00106,02,1043190,000201400,00035
30,2,00106,01,104457,,00067
31,1,00106,01,1045380,,00070
32,1,00106,03,1045707,000018000,00089
33,1,00106,03,1046966,000046200,00190
34,2,00106,01,1048335,,00034
35,0,00106,01,1048977,,00142
36,,00106,00,1051955,,00106
37,4,00106,04,1052949,000133700,00093
38,3,00106,02,1053265,000085500,00047
39,4,00106,07,1053550,000138500,00075
40,3,00106,05,1054234,000325000,00116
41,,00106,01,1056087,,00000
42,2,00106,02,1056598,000180000,00037
43,1,00106,02,1056744,000006000,00072
44,4,00106,05,1060761,000110000,00070
45,2,00106,03,1061050,000200000,00141
46,1,00106,01,1061260,,00049
47,2,00106,05,1062025,000039700,00064
48,1,00106,01,1062127,,00072
49,3,00106,03,1065032,000248500,00062
50,2,00106,01,1065040,,00145
51,,00106,01,1066880,,00000
52,2,00106,05,1067585,000058500,00094
53,2,00106,02,106925,000065000,00207
54,0,00106,03,106984,000033000,00223
55,2,00106,05,1070620,000153340,00056
56,2,00106,06,107247,000040000,00092
57,1,00106,02,1073351,000032000,00073
58,1,00106,05,1073796,000011000,00166
59,1,00106,04,1074656,000118000,00200
60,1,00106,01,1077177,,00189
61,1,00106,05,1078155,000161000,00071
62,2,00106,01,1078426,,00055
63,2,00106,01,107961,,00094
64,3,00106,04,1080363,000143000,00111
65,1,00106,01,1081785,,00065
66,,00106,01,1082556,,00000
67,,00106,01,1083475,,00000
68,1,00106,01,1084560,,00065
69,2,00106,05,1090094,000205480,00086
70,2,00106,04,1094028,000091000,00072
71,0,00106,01,1098690,,00126
72,,00106,01,1100127,,00000
73,4,00106,02,1102105,000140000,00178
74,1,00106,01,1102376,,00107
75,1,00106,02,1102753,000028260,00108
76,3,00106,02,1104216,,00077
77,2,00106,02,1105683,000066260,00083
78,1,00106,03,1105979,000049000,00193
79,1,00106,03,1110283,000105000,00070
80,1,00106,01,1110549,,00210
81,3,00106,03,111241,000172000,00102
82,1,00106,01,1112858,,00286
83,3,00106,02,111319,000137000,00060
84,2,00106,02,1115338,000122500,00037
85,3,00106,02,1116573,000154710,00060
86,1,00106,03,1118583,000046800,00107
87,4,00106,08,1123222,000186000,00093
88,1,00106,01,1125490,,00073
89,2,00106,05,1125968,000115500,00054
90,2,00106,02,112680,000095000,00139
91,1,00106,02,1126839,000060000,00056
92,1,00106,03,1128979,000020000,00319
93,1,00106,01,1129474,,00098
94,1,00106,01,1130136,,00065
95,0,00106,01,113182,,00118
96,3,00106,02,1132122,000074000,00065
97,2,00106,02,1132899,000050000,00062
98,2,00106,02,1132912,000098700,00109
99,,00106,01,1133561,,00000
100,1,00106,02,1136099,000027200,00065
101,3,00106,02,1136899,000140830,00058
102,1,00106,01,1138304,,00154
103,2,00106,03,113885,000095000,00055
104,2,00106,01,1139977,,00117
105,2,00106,02,1142529,000094000,00074
106,3,00106,03,1144085,000133500,00097
107,1,00106,02,1145427,000122000,00117
108,3,00106,05,1145491,000082000,00060
109,5,00106,01,1146619,,00037
110,2,00106,02,1148717,000081000,00083
111,2,00106,02,1148843,000297000,00225
112,1,00106,02,1148912,000000000,00072
113,3,00106,04,1149444,000040000,00156
114,2,00106,03,1150728,000037000,00140
115,2,00106,02,1151050,000250000,00071
116,2,00106,04,1152307,000059000,00149
117,2,00106,02,1153276,000087000,00070
118,,00106,00,1153476,,00185
119,1,00106,03,1153632,000008700,00187
120,1,00106,01,1154483,,00122
121,2,00106,02,1157126,,00075
122,2,00106,03,1158986,000099000,00327
123,3,00106,02,1160007,000058850,00062
124,4,00106,05,1160725,000074300,00053
125,,00106,00,1162875,,00287
126,,00106,01,1164129,,00000
127,2,00106,04,1164654,000109200,00279
128,2,00106,05,1171194,000026000,00120
129,1,00106,04,1171359,000064250,00102
130,0,00106,01,1175939,,00098
131,3,00106,04,1177668,000443000,00064
132,2,00106,03,1177912,000034600,00263
133,3,00106,03,1178189,,00412
134,1,00106,01,1183113,,00059
135,1,00106,02,1183590,000047700,00054
136,1,00106,01,1185774,,00054
137,,00106,01,1186377,,00000
138,2,00106,02,1187667,,00063
139,2,00106,02,1187749,,00332
140,1,00106,04,118846,000010500,00138
141,2,00106,02,1192274,000049500,00052
142,1,00106,01,1192679,,00037
143,1,00106,04,1192743,000022000,00361
144,1,00106,01,1194778,,00067
145,2,00106,03,1197699,000104000,00207
146,5,00106,04,1201051,,00067
147,1,00106,01,1202275,,00054
148,2,00106,02,1203278,000303400,00059
149,1,00106,01,1203987,,00136
150,2,00106,04,1204706,000081000,00041
151,3,00106,05,1206403,000092500,00204
152,3,00106,04,1206723,000078010,00103
153,1,00106,01,1206865,,00056
154,,00106,01,1206881,,00000
155,,00106,01,1206950,,00000
156,5,00106,05,1208189,000013500,00088
157,0,00106,03,1209785,000039000,00144
158,3,00106,02,1210918,000161310,00044
159,,00106,01,1210943,,00000
160,,00106,01,1214317,,00000
161,4,00106,03,1215050,000285800,00077
162,3,00106,03,1217697,000022000,00022
163,1,00106,01,1219007,,00062
164,1,00106,01,1220046,,00063
165,1,00106,02,1220242,000101300,00083
166,1,00106,03,1222958,000097000,00106
167,1,00106,02,1223124,,00053
168,2,00106,03,1223369,000121200,00058
169,,00106,00,1223719,,00235
170,2,00106,02,1225709,000031600,00187
171,2,00106,02,122655,000031000,00118
172,2,00106,03,1228648,000118000,00066
173,3,00106,04,1228652,000071000,00055
174,,00106,01,1230327,,00000
175,5,00106,04,1234553,000113000,00134
176,2,00106,02,1235120,000141000,00074
177,,00106,00,1235260,,00062
178,3,00106,04,1237062,000096300,00103
179,1,00106,04,1239101,000074000,00059
180,2,00106,02,1239423,,00094
181,2,00106,02,1239854,000045000,00054
182,2,00106,02,1240212,000004200,00110
183,2,00106,02,1240335,000050000,00088
184,4,00106,02,1242478,000051300,00137
185,2,00106,02,1242735,000215200,00063
186,3,00106,04,1242992,000068800,00323
187,1,00106,04,1243350,000020000,00149
188,1,00106,01,124343,,00108
189,1,00106,01,1243957,,00054
190,4,00106,05,1244320,000077210,00254
191,1,00106,01,1245080,,00111
192,1,00106,01,1245398,,00099
193,5,00106,04,1248268,000339100,00045
