,STATEFP,COUNTYFP,PUMA5CE,TRACTCE,0-17,18-34,65+,35-64,count,1,3,2,4+
193,06,001,00106,430101,1756,1161,671,3383,2217,305,356,648,908
194,06,001,00106,430102,354,210,553,1022,863,158,174,407,124
195,06,001,00106,430200,1310,911,1114,3324,2417,397,580,936,504
196,06,001,00106,430300,845,492,672,1597,1239,222,194,466,357
197,06,001,00106,430400,311,331,416,997,752,136,150,294,172
198,06,001,00106,430500,1458,1264,582,2889,2027,473,389,614,551
199,06,001,00106,430600,988,1120,876,2755,2145,496,477,699,473
200,06,001,00106,430700,911,830,523,1649,1291,165,265,470,391
201,06,001,00106,430800,1406,1377,896,2412,2116,367,328,793,628
202,06,001,00106,430900,1449,1186,587,1799,1822,499,356,589,378
203,06,001,00106,431000,663,684,330,1263,1138,269,286,355,228
204,06,001,00106,431100,692,1201,324,1047,1342,434,169,510,229
205,06,001,00106,431200,1031,1153,966,2370,2504,1049,455,687,313
206,06,001,00106,433700,986,892,210,1264,998,322,112,121,443
207,06,001,00106,433800,2018,2045,877,3197,2498,662,634,366,836
208,06,001,00106,433900,2707,2122,289,2443,2365,547,314,465,1039
209,06,001,00106,434000,1779,1297,404,2039,1758,525,339,239,655
210,06,001,00106,435200,857,1022,661,1913,1404,246,368,420,370
211,06,001,00106,435300,826,1129,511,1767,1586,498,342,481,265
212,06,001,00106,435500,762,914,444,1424,1362,487,189,375,311
213,06,001,00106,435601,1884,1521,305,1901,1591,273,280,392,646
214,06,001,00106,435602,1306,1195,505,2454,1546,431,250,336,529
215,06,001,00106,435700,1017,1091,821,1820,1399,219,243,374,563
216,06,001,00106,435800,1144,1257,611,2383,1587,262,330,414,581
217,06,001,00106,435900,1165,1220,832,2173,1588,185,267,531,605
218,06,001,00106,436000,933,1061,772,1532,1381,256,283,390,452
219,06,001,00106,436100,1427,1356,818,2630,1810,400,315,328,767
220,06,001,00106,436200,1211,1027,435,1358,1222,347,172,221,482
221,06,001,00106,436402,510,565,634,1163,977,112,300,362,203
