,puma,wagp,agep,sex,serialno,pwgtp,st
0,00106,0000000,70,1,1000481,00100,06
1,00106,0028000,25,1,1002740,00122,06
2,00106,0004000,27,1,1002740,00122,06
3,00106,0040000,65,2,1002740,00107,06
4,00106,0042000,66,1,1002740,00113,06
5,00106,0000000,24,1,1004323,00076,06
6,00106,0056000,50,2,1004323,00078,06
7,00106,0030000,45,1,1004323,00068,06
8,00106,0000000,81,1,1006982,00053,06
9,00106,,01,1,1006982,00076,06
10,00106,,03,1,1006982,00078,06
11,00106,0000000,24,2,1006982,00089,06
12,00106,0010000,24,1,1006982,00073,06
13,00106,0100000,52,1,1010099,00063,06
14,00106,0070000,48,2,1010099,00062,06
15,00106,0085000,54,1,1011294,00043,06
16,00106,0040000,52,2,1011294,00038,06
17,00106,0000000,32,2,1012613,00072,06
18,00106,0020000,34,1,1012613,00075,06
19,00106,,08,2,1012613,00073,06
20,00106,,06,1,1012613,00067,06
21,00106,0050000,32,2,1015561,00168,06
22,00106,0085000,36,1,1015561,00129,06
23,00106,,13,1,1015561,00159,06
24,00106,0000000,72,1,1016255,00080,06
25,00106,0000000,68,2,1016255,00075,06
26,00106,0000000,63,2,1017051,00088,06
27,00106,0045000,60,1,1017051,00071,06
28,00106,0000000,83,1,1019082,00058,06
29,00106,0000000,66,2,1019082,00066,06
30,00106,0000000,67,1,1019611,00188,06
31,00106,0069000,33,2,1021805,00122,06
32,00106,0035000,33,1,1021805,00130,06
33,00106,,14,2,1022501,00125,06
34,00106,0144000,50,1,1022501,00125,06
35,00106,0050000,53,2,1022501,00115,06
36,00106,0002000,17,2,1022501,00117,06
37,00106,0000000,69,1,1022581,00060,06
38,00106,0005700,65,2,1022581,00053,06
39,00106,0020000,25,2,1023053,00121,06
40,00106,0040000,22,1,1023053,00116,06
41,00106,0000000,50,2,1023053,00070,06
42,00106,0000000,78,1,1023149,00013,06
43,00106,0080000,53,2,1023432,00408,06
44,00106,,08,2,1026172,00046,06
45,00106,0100000,34,1,1026172,00049,06
46,00106,,06,1,1026172,00043,06
47,00106,,04,2,1026172,00041,06
48,00106,,02,1,1026172,00047,06
49,00106,0000000,33,2,1026172,00046,06
50,00106,,00,2,102947,00187,06
51,00106,0060000,33,2,102947,00209,06
52,00106,0060000,34,1,102947,00291,06
53,00106,,14,2,102947,00177,06
54,00106,0000000,65,1,1032964,00135,06
55,00106,0029400,63,2,1035885,00062,06
56,00106,0065000,36,1,1036137,00069,06
57,00106,,08,1,1036137,00061,06
58,00106,0000000,33,2,1036137,00079,06
59,00106,0041600,61,1,1036137,00053,06
60,00106,,01,1,1037116,00080,06
61,00106,0000000,15,2,1037116,00069,06
62,00106,0050000,30,1,1037116,00098,06
63,00106,0040500,31,2,1037116,00086,06
64,00106,,08,1,1037116,00084,06
65,00106,0000000,87,2,1038049,00082,06
66,00106,0038000,69,2,1039604,00106,06
67,00106,0000000,74,1,1039604,00112,06
68,00106,0090000,62,1,1039952,00192,06
69,00106,0000000,56,2,1039952,00187,06
70,00106,0037000,26,2,1042929,00055,06
71,00106,0040000,26,1,1042929,00049,06
72,00106,0040000,26,1,1042929,00063,06
73,00106,0000000,84,1,1043190,00035,06
74,00106,0000000,77,2,1043190,00037,06
75,00106,0000000,70,2,104457,00067,06
76,00106,0018000,41,1,1045380,00070,06
77,00106,0000000,20,1,1045707,00102,06
78,00106,0000000,22,1,1045707,00102,06
79,00106,0000000,58,2,1045707,00089,06
80,00106,0010000,31,2,1046966,00134,06
81,00106,,01,1,1046966,00141,06
82,00106,0035000,33,1,1046966,00191,06
83,00106,0000000,69,2,1048335,00034,06
84,00106,0000000,53,1,1048977,00141,06
85,00106,0022000,28,1,1052949,00192,06
86,00106,0000000,30,2,1052949,00219,06
87,00106,0110000,57,1,1052949,00093,06
88,00106,0000000,55,2,1052949,00083,06
89,00106,0000000,69,1,1053265,00047,06
90,00106,0003300,69,2,1053265,00057,06
91,00106,,13,2,1053550,00064,06
92,00106,0025000,38,2,1053550,00057,06
93,00106,0036500,38,1,1053550,00074,06
94,00106,0027000,44,2,1053550,00076,06
95,00106,0050000,45,1,1053550,00082,06
96,00106,,08,1,1053550,00070,06
97,00106,,10,2,1053550,00065,06
98,00106,,03,2,1054234,00143,06
99,00106,,07,1,1054234,00124,06
100,00106,0000000,39,2,1054234,00117,06
101,00106,,05,1,1054234,00123,06
102,00106,0000000,39,1,1054234,00108,06
103,00106,0000000,65,2,1056087,00006,06
104,00106,0157000,56,1,1056598,00035,06
105,00106,0023000,51,2,1056598,00037,06
106,00106,0000000,68,2,1056744,00048,06
107,00106,0000000,64,1,1056744,00072,06
108,00106,,13,2,1060761,00101,06
109,00106,0000000,52,1,1060761,00070,06
110,00106,0100000,52,2,1060761,00103,06
111,00106,0000000,23,1,1060761,00088,06
112,00106,0010000,22,2,1060761,00117,06
113,00106,,11,2,1061050,00179,06
114,00106,0100000,55,1,1061050,00129,06
115,00106,0100000,47,2,1061050,00142,06
116,00106,0000000,94,2,1061260,00050,06
117,00106,0000000,35,1,1062025,00128,06
118,00106,,01,2,1062025,00064,06
119,00106,0000000,20,2,1062025,00088,06
120,00106,0000000,61,2,1062025,00067,06
121,00106,0019000,64,1,1062025,00064,06
122,00106,0000000,85,2,1062127,00072,06
123,00106,0000000,56,1,1065032,00109,06
124,00106,0012500,24,2,1065032,00082,06
125,00106,0100000,56,2,1065032,00061,06
126,00106,0000000,39,2,1065040,00145,06
127,00106,0000000,79,2,1066880,00010,06
128,00106,,14,1,1067585,00109,06
129,00106,0000400,42,2,1067585,00101,06
130,00106,,11,2,1067585,00118,06
131,00106,,12,1,1067585,00110,06
132,00106,0056000,48,1,1067585,00094,06
133,00106,0065000,60,1,106925,00215,06
134,00106,0000000,60,2,106925,00207,06
135,00106,,00,2,106984,00306,06
136,00106,0000000,29,2,106984,00184,06
137,00106,0033000,28,1,106984,00222,06
138,00106,0046800,26,1,1070620,00118,06
139,00106,0000240,31,2,1070620,00134,06
140,00106,0083000,55,1,1070620,00057,06
141,00106,0003300,58,2,1070620,00050,06
142,00106,0020000,31,1,1070620,00154,06
143,00106,0000000,19,1,107247,00068,06
144,00106,0000000,64,2,107247,00104,06
145,00106,0000000,63,1,107247,00105,06
146,00106,0040000,37,1,107247,00091,06
147,00106,0000000,17,1,107247,00085,06
148,00106,0000000,35,2,107247,00086,06
149,00106,0032000,33,2,1073351,00073,06
150,00106,,11,2,1073351,00098,06
151,00106,,04,2,1073796,00167,06
152,00106,0011000,27,2,1073796,00167,06
153,00106,,10,1,1073796,00208,06
154,00106,,09,1,1073796,00208,06
155,00106,,01,2,1073796,00167,06
156,00106,0045000,50,1,1074656,00200,06
157,00106,0003000,24,1,1074656,00211,06
158,00106,0000000,15,1,1074656,00170,06
159,00106,0070000,44,2,1074656,00194,06
160,00106,0057000,40,1,1077177,00189,06
161,00106,0000000,16,2,1078155,00064,06
162,00106,,01,2,1078155,00064,06
163,00106,0089000,50,1,1078155,00071,06
164,00106,0065000,48,2,1078155,00072,06
165,00106,0007000,23,2,1078155,00088,06
166,00106,0000000,61,1,1078426,00055,06
167,00106,0024000,55,1,107961,00094,06
168,00106,0001000,42,2,1080363,00120,06
169,00106,0080000,44,1,1080363,00112,06
170,00106,0000000,67,1,1080363,00112,06
171,00106,0000000,67,2,1080363,00119,06
172,00106,0037000,30,2,1081785,00065,06
173,00106,0000000,94,1,1082556,00015,06
174,00106,0000000,15,1,1083475,00071,06
175,00106,0069000,30,2,1084560,00065,06
176,00106,0156000,46,1,1090094,00086,06
177,00106,0041400,41,2,1090094,00097,06
178,00106,0000000,17,1,1090094,00094,06
179,00106,0000000,17,1,1090094,00093,06
180,00106,0000000,69,1,1090094,00098,06
181,00106,,04,1,1094028,00078,06
182,00106,0050000,58,1,1094028,00072,06
183,00106,0000000,60,2,1094028,00070,06
184,00106,0041000,29,2,1094028,00103,06
185,00106,0045000,56,2,1098690,00126,06
186,00106,0000000,49,1,1100127,00013,06
187,00106,0065000,56,2,1102105,00176,06
188,00106,0075000,60,1,1102105,00178,06
189,00106,0000000,62,2,1102376,00106,06
190,00106,0000160,65,2,1102753,00107,06
191,00106,0000000,69,1,1102753,00083,06
192,00106,0080000,27,1,1104216,00077,06
193,00106,0035000,24,2,1104216,00079,06
194,00106,0000000,67,2,1105683,00078,06
195,00106,0000000,67,1,1105683,00083,06
196,00106,,11,2,1105979,00194,06
